"","activity"
"259","WALKING_DOWNSTAIRS"
"260","WALKING_DOWNSTAIRS"
"261","WALKING_DOWNSTAIRS"
"262","WALKING_DOWNSTAIRS"
"263","WALKING_DOWNSTAIRS"
"264","WALKING_DOWNSTAIRS"
"265","WALKING_DOWNSTAIRS"
"266","WALKING_DOWNSTAIRS"
"267","WALKING_DOWNSTAIRS"
"268","WALKING_DOWNSTAIRS"
"269","WALKING_DOWNSTAIRS"
"270","WALKING_DOWNSTAIRS"
"271","WALKING_DOWNSTAIRS"
"272","WALKING_DOWNSTAIRS"
"273","WALKING_DOWNSTAIRS"
"274","WALKING_DOWNSTAIRS"
"275","WALKING_DOWNSTAIRS"
"276","WALKING_DOWNSTAIRS"
"277","WALKING_DOWNSTAIRS"
"278","WALKING_DOWNSTAIRS"
"279","WALKING_DOWNSTAIRS"
"280","WALKING_UPSTAIRS"
"281","WALKING_UPSTAIRS"
"282","WALKING_UPSTAIRS"
"283","WALKING_UPSTAIRS"
"284","WALKING_UPSTAIRS"
"285","WALKING_UPSTAIRS"
"286","WALKING_UPSTAIRS"
"287","WALKING_UPSTAIRS"
"288","WALKING_UPSTAIRS"
"289","WALKING_UPSTAIRS"
"290","WALKING_UPSTAIRS"
"291","WALKING_UPSTAIRS"
"292","WALKING_UPSTAIRS"
"293","WALKING_UPSTAIRS"
"294","WALKING_UPSTAIRS"
"295","WALKING_UPSTAIRS"
"296","WALKING_UPSTAIRS"
"297","WALKING_UPSTAIRS"
"298","WALKING_UPSTAIRS"
"299","WALKING_UPSTAIRS"
"300","WALKING_UPSTAIRS"
"301","WALKING_UPSTAIRS"
"302","WALKING_UPSTAIRS"
"303","STANDING"
"304","STANDING"
"305","STANDING"
"306","STANDING"
"307","STANDING"
"308","STANDING"
"309","STANDING"
"310","STANDING"
"311","STANDING"
"312","STANDING"
"313","STANDING"
"314","STANDING"
"315","STANDING"
"316","STANDING"
"317","STANDING"
"318","STANDING"
"319","STANDING"
"320","STANDING"
"321","STANDING"
"322","STANDING"
"323","STANDING"
"324","STANDING"
"325","STANDING"
"326","STANDING"
"327","STANDING"
"328","STANDING"
"329","STANDING"
"330","STANDING"
"331","SITTING"
"332","SITTING"
"333","SITTING"
"334","SITTING"
"335","SITTING"
"336","SITTING"
"337","SITTING"
"338","SITTING"
"339","SITTING"
"340","SITTING"
"341","SITTING"
"342","SITTING"
"343","SITTING"
"344","SITTING"
"345","SITTING"
"346","SITTING"
"347","SITTING"
"348","SITTING"
"349","SITTING"
"350","SITTING"
"351","SITTING"
"352","SITTING"
"353","SITTING"
"354","SITTING"
"355","LAYING"
"356","LAYING"
"357","LAYING"
"358","LAYING"
"359","LAYING"
"360","LAYING"
"361","LAYING"
"362","LAYING"
"363","LAYING"
"364","LAYING"
"365","LAYING"
"366","LAYING"
"367","LAYING"
"368","LAYING"
"369","LAYING"
"370","LAYING"
"371","LAYING"
"372","LAYING"
"373","LAYING"
"374","LAYING"
"375","LAYING"
"376","LAYING"
"377","LAYING"
"378","LAYING"
"379","LAYING"
"380","LAYING"
"381","LAYING"
"382","LAYING"
"383","LAYING"
"384","LAYING"
"385","WALKING"
"386","WALKING"
"387","WALKING"
"388","WALKING"
"389","WALKING"
"390","WALKING"
"391","WALKING"
"392","WALKING"
"393","WALKING"
"394","WALKING"
"395","WALKING"
"396","WALKING"
"397","WALKING"
"398","WALKING"
"399","WALKING"
"400","WALKING"
"401","WALKING"
"402","WALKING"
"403","WALKING"
"404","WALKING"
"405","WALKING"
"406","WALKING"
"407","WALKING"
"408","WALKING"
"409","WALKING"
"410","WALKING"
"411","WALKING"
"412","WALKING"
"413","WALKING"
"414","WALKING"
"415","WALKING"
"416","WALKING_DOWNSTAIRS"
"417","WALKING_DOWNSTAIRS"
"418","WALKING_DOWNSTAIRS"
"419","WALKING_DOWNSTAIRS"
"420","WALKING_DOWNSTAIRS"
"421","WALKING_DOWNSTAIRS"
"422","WALKING_DOWNSTAIRS"
"423","WALKING_DOWNSTAIRS"
"424","WALKING_DOWNSTAIRS"
"425","WALKING_DOWNSTAIRS"
"426","WALKING_DOWNSTAIRS"
"427","WALKING_DOWNSTAIRS"
"428","WALKING_DOWNSTAIRS"
"429","WALKING_DOWNSTAIRS"
"430","WALKING_DOWNSTAIRS"
"431","WALKING_DOWNSTAIRS"
"432","WALKING_DOWNSTAIRS"
"433","WALKING_DOWNSTAIRS"
"434","WALKING_DOWNSTAIRS"
"435","WALKING_DOWNSTAIRS"
"436","WALKING_DOWNSTAIRS"
"437","WALKING_DOWNSTAIRS"
"438","WALKING_DOWNSTAIRS"
"439","WALKING_UPSTAIRS"
"440","WALKING_UPSTAIRS"
"441","WALKING_UPSTAIRS"
"442","WALKING_UPSTAIRS"
"443","WALKING_UPSTAIRS"
"444","WALKING_UPSTAIRS"
"445","WALKING_UPSTAIRS"
"446","WALKING_UPSTAIRS"
"447","WALKING_UPSTAIRS"
"448","WALKING_UPSTAIRS"
"449","WALKING_UPSTAIRS"
"450","WALKING_UPSTAIRS"
"451","WALKING_UPSTAIRS"
"452","WALKING_UPSTAIRS"
"453","WALKING_UPSTAIRS"
"454","WALKING_UPSTAIRS"
"455","WALKING_UPSTAIRS"
"456","WALKING_UPSTAIRS"
"457","WALKING_UPSTAIRS"
"458","WALKING_UPSTAIRS"
"459","WALKING_UPSTAIRS"
"460","WALKING_UPSTAIRS"
"461","WALKING_UPSTAIRS"
"462","WALKING_UPSTAIRS"
"463","WALKING_UPSTAIRS"
"464","WALKING_UPSTAIRS"
"465","WALKING_UPSTAIRS"
"466","WALKING_UPSTAIRS"
"467","STANDING"
"468","STANDING"
"469","STANDING"
"470","STANDING"
"471","STANDING"
"472","STANDING"
"473","STANDING"
"474","STANDING"
"475","STANDING"
"476","STANDING"
"477","STANDING"
"478","STANDING"
"479","STANDING"
"480","STANDING"
"481","STANDING"
"482","STANDING"
"483","STANDING"
"484","STANDING"
"485","STANDING"
"486","STANDING"
"487","STANDING"
"488","STANDING"
"489","STANDING"
"490","STANDING"
"491","STANDING"
"492","STANDING"
"493","STANDING"
"494","STANDING"
"495","SITTING"
"496","SITTING"
"497","SITTING"
"498","SITTING"
"499","SITTING"
"500","SITTING"
"501","SITTING"
"502","SITTING"
"503","SITTING"
"504","SITTING"
"505","SITTING"
"506","SITTING"
"507","SITTING"
"508","SITTING"
"509","SITTING"
"510","SITTING"
"511","SITTING"
"512","SITTING"
"513","SITTING"
"514","SITTING"
"515","SITTING"
"516","SITTING"
"517","SITTING"
"518","SITTING"
"519","SITTING"
"520","SITTING"
"521","LAYING"
"522","LAYING"
"523","LAYING"
"524","LAYING"
"525","LAYING"
"526","LAYING"
"527","LAYING"
"528","LAYING"
"529","LAYING"
"530","LAYING"
"531","LAYING"
"532","LAYING"
"533","LAYING"
"534","LAYING"
"535","LAYING"
"536","LAYING"
"537","LAYING"
"538","LAYING"
"539","LAYING"
"540","LAYING"
"541","LAYING"
"542","LAYING"
"543","LAYING"
"544","LAYING"
"545","WALKING"
"546","WALKING"
"547","WALKING"
"548","WALKING"
"549","WALKING"
"550","WALKING"
"551","WALKING"
"552","WALKING"
"553","WALKING"
"554","WALKING"
"555","WALKING"
"556","WALKING"
"557","WALKING"
"558","WALKING"
"559","WALKING"
"560","WALKING"
"561","WALKING"
"562","WALKING"
"563","WALKING"
"564","WALKING"
"565","WALKING"
"566","WALKING"
"567","WALKING"
"568","WALKING"
"569","WALKING"
"570","WALKING"
"571","WALKING"
"572","WALKING"
"573","WALKING"
"574","WALKING_DOWNSTAIRS"
"575","WALKING_DOWNSTAIRS"
"576","WALKING_DOWNSTAIRS"
"577","WALKING_DOWNSTAIRS"
"578","WALKING_DOWNSTAIRS"
"579","WALKING_DOWNSTAIRS"
"580","WALKING_DOWNSTAIRS"
"581","WALKING_DOWNSTAIRS"
"582","WALKING_DOWNSTAIRS"
"583","WALKING_DOWNSTAIRS"
"584","WALKING_DOWNSTAIRS"
"585","WALKING_DOWNSTAIRS"
"586","WALKING_DOWNSTAIRS"
"587","WALKING_DOWNSTAIRS"
"588","WALKING_DOWNSTAIRS"
"589","WALKING_DOWNSTAIRS"
"590","WALKING_DOWNSTAIRS"
"591","WALKING_DOWNSTAIRS"
"592","WALKING_DOWNSTAIRS"
"593","WALKING_DOWNSTAIRS"
"594","WALKING_DOWNSTAIRS"
"595","WALKING_DOWNSTAIRS"
"596","WALKING_UPSTAIRS"
"597","WALKING_UPSTAIRS"
"598","WALKING_UPSTAIRS"
"599","WALKING_UPSTAIRS"
"600","WALKING_UPSTAIRS"
"601","WALKING_UPSTAIRS"
"602","WALKING_UPSTAIRS"
"603","WALKING_UPSTAIRS"
"604","WALKING_UPSTAIRS"
"605","WALKING_UPSTAIRS"
"606","WALKING_UPSTAIRS"
"607","WALKING_UPSTAIRS"
"608","WALKING_UPSTAIRS"
"609","WALKING_UPSTAIRS"
"610","WALKING_UPSTAIRS"
"611","WALKING_UPSTAIRS"
"612","WALKING_UPSTAIRS"
"613","WALKING_UPSTAIRS"
"614","WALKING_UPSTAIRS"
"615","WALKING_UPSTAIRS"
"616","WALKING_UPSTAIRS"
"617","WALKING_UPSTAIRS"
"618","WALKING_UPSTAIRS"
"619","WALKING_UPSTAIRS"
"620","STANDING"
"621","STANDING"
"622","STANDING"
"623","STANDING"
"624","STANDING"
"625","STANDING"
"626","STANDING"
"627","STANDING"
"628","STANDING"
"629","STANDING"
"630","STANDING"
"631","STANDING"
"632","STANDING"
"633","STANDING"
"634","STANDING"
"635","STANDING"
"636","STANDING"
"637","STANDING"
"638","STANDING"
"639","STANDING"
"640","STANDING"
"641","STANDING"
"642","SITTING"
"643","SITTING"
"644","SITTING"
"645","SITTING"
"646","SITTING"
"647","SITTING"
"648","SITTING"
"649","SITTING"
"650","SITTING"
"651","SITTING"
"652","SITTING"
"653","SITTING"
"654","SITTING"
"655","SITTING"
"656","SITTING"
"657","SITTING"
"658","SITTING"
"659","SITTING"
"660","SITTING"
"661","SITTING"
"662","SITTING"
"663","SITTING"
"664","SITTING"
"665","SITTING"
"666","SITTING"
"667","LAYING"
"668","LAYING"
"669","LAYING"
"670","LAYING"
"671","LAYING"
"672","LAYING"
"673","LAYING"
"674","LAYING"
"675","LAYING"
"676","LAYING"
"677","LAYING"
"678","LAYING"
"679","LAYING"
"680","LAYING"
"681","LAYING"
"682","LAYING"
"683","LAYING"
"684","LAYING"
"685","LAYING"
"686","LAYING"
"687","LAYING"
"688","LAYING"
"689","LAYING"
"690","LAYING"
"691","WALKING"
"692","WALKING"
"693","WALKING"
"694","WALKING"
"695","WALKING"
"696","WALKING"
"697","WALKING"
"698","WALKING"
"699","WALKING"
"700","WALKING"
"701","WALKING"
"702","WALKING"
"703","WALKING"
"704","WALKING"
"705","WALKING"
"706","WALKING"
"707","WALKING"
"708","WALKING"
"709","WALKING"
"710","WALKING"
"711","WALKING"
"712","WALKING"
"713","WALKING"
"714","WALKING"
"715","WALKING"
"716","WALKING"
"717","WALKING_DOWNSTAIRS"
"718","WALKING_DOWNSTAIRS"
"719","WALKING_DOWNSTAIRS"
"720","WALKING_DOWNSTAIRS"
"721","WALKING_DOWNSTAIRS"
"722","WALKING_DOWNSTAIRS"
"723","WALKING_DOWNSTAIRS"
"724","WALKING_UPSTAIRS"
"725","WALKING_UPSTAIRS"
"726","WALKING_UPSTAIRS"
"727","WALKING_UPSTAIRS"
"728","WALKING_UPSTAIRS"
"729","WALKING_UPSTAIRS"
"730","WALKING_UPSTAIRS"
"731","WALKING_UPSTAIRS"
"732","WALKING_UPSTAIRS"
"733","WALKING_UPSTAIRS"
"734","WALKING_DOWNSTAIRS"
"735","WALKING_DOWNSTAIRS"
"736","WALKING_DOWNSTAIRS"
"737","WALKING_DOWNSTAIRS"
"738","WALKING_DOWNSTAIRS"
"739","WALKING_DOWNSTAIRS"
"740","WALKING_UPSTAIRS"
"741","WALKING_UPSTAIRS"
"742","WALKING_UPSTAIRS"
"743","WALKING_UPSTAIRS"
"744","WALKING_UPSTAIRS"
"745","WALKING_UPSTAIRS"
"746","WALKING_UPSTAIRS"
"747","WALKING_UPSTAIRS"
"748","WALKING_DOWNSTAIRS"
"749","WALKING_DOWNSTAIRS"
"750","WALKING_DOWNSTAIRS"
"751","WALKING_DOWNSTAIRS"
"752","WALKING_DOWNSTAIRS"
"753","WALKING_DOWNSTAIRS"
"754","WALKING_DOWNSTAIRS"
"755","WALKING_DOWNSTAIRS"
"756","WALKING_UPSTAIRS"
"757","WALKING_UPSTAIRS"
"758","WALKING_UPSTAIRS"
"759","WALKING_UPSTAIRS"
"760","WALKING_UPSTAIRS"
"761","WALKING_UPSTAIRS"
"762","WALKING_UPSTAIRS"
"763","WALKING_UPSTAIRS"
"764","STANDING"
"765","STANDING"
"766","STANDING"
"767","STANDING"
"768","STANDING"
"769","STANDING"
"770","STANDING"
"771","STANDING"
"772","STANDING"
"773","STANDING"
"774","STANDING"
"775","STANDING"
"776","STANDING"
"777","STANDING"
"778","STANDING"
"779","STANDING"
"780","STANDING"
"781","STANDING"
"782","STANDING"
"783","STANDING"
"784","STANDING"
"785","STANDING"
"786","STANDING"
"787","SITTING"
"788","SITTING"
"789","SITTING"
"790","SITTING"
"791","SITTING"
"792","SITTING"
"793","SITTING"
"794","SITTING"
"795","SITTING"
"796","SITTING"
"797","SITTING"
"798","SITTING"
"799","SITTING"
"800","SITTING"
"801","SITTING"
"802","SITTING"
"803","SITTING"
"804","SITTING"
"805","SITTING"
"806","SITTING"
"807","SITTING"
"808","SITTING"
"809","SITTING"
"810","SITTING"
"811","SITTING"
"812","LAYING"
"813","LAYING"
"814","LAYING"
"815","LAYING"
"816","LAYING"
"817","LAYING"
"818","LAYING"
"819","LAYING"
"820","LAYING"
"821","LAYING"
"822","LAYING"
"823","LAYING"
"824","LAYING"
"825","LAYING"
"826","LAYING"
"827","LAYING"
"828","LAYING"
"829","LAYING"
"830","LAYING"
"831","LAYING"
"832","LAYING"
"833","LAYING"
"834","LAYING"
"835","LAYING"
"836","LAYING"
"837","LAYING"
"838","WALKING"
"839","WALKING"
"840","WALKING"
"841","WALKING"
"842","WALKING"
"843","WALKING"
"844","WALKING"
"845","WALKING"
"846","WALKING"
"847","WALKING"
"848","WALKING"
"849","WALKING"
"850","WALKING"
"851","WALKING"
"852","WALKING"
"853","WALKING"
"854","WALKING"
"855","WALKING"
"856","WALKING"
"857","WALKING"
"858","WALKING"
"859","WALKING"
"860","WALKING"
"861","WALKING"
"862","WALKING"
"863","WALKING"
"864","WALKING_DOWNSTAIRS"
"865","WALKING_DOWNSTAIRS"
"866","WALKING_DOWNSTAIRS"
"867","WALKING_DOWNSTAIRS"
"868","WALKING_DOWNSTAIRS"
"869","WALKING_DOWNSTAIRS"
"870","WALKING_DOWNSTAIRS"
"871","WALKING_DOWNSTAIRS"
"872","WALKING_DOWNSTAIRS"
"873","WALKING_DOWNSTAIRS"
"874","WALKING_DOWNSTAIRS"
"875","WALKING_DOWNSTAIRS"
"876","WALKING_DOWNSTAIRS"
"877","WALKING_DOWNSTAIRS"
"878","WALKING_UPSTAIRS"
"879","WALKING_UPSTAIRS"
"880","WALKING_UPSTAIRS"
"881","WALKING_UPSTAIRS"
"882","WALKING_UPSTAIRS"
"883","WALKING_UPSTAIRS"
"884","WALKING_UPSTAIRS"
"885","WALKING_UPSTAIRS"
"886","WALKING_UPSTAIRS"
"887","WALKING_UPSTAIRS"
"888","WALKING_UPSTAIRS"
"889","WALKING_UPSTAIRS"
"890","WALKING_UPSTAIRS"
"891","WALKING_UPSTAIRS"
"892","WALKING_UPSTAIRS"
"893","WALKING_UPSTAIRS"
"894","WALKING_UPSTAIRS"
"895","WALKING_UPSTAIRS"
"896","WALKING_UPSTAIRS"
"897","WALKING_UPSTAIRS"
"898","WALKING_UPSTAIRS"
"899","WALKING_UPSTAIRS"
"900","WALKING_UPSTAIRS"
"901","WALKING_DOWNSTAIRS"
"902","WALKING_DOWNSTAIRS"
"903","WALKING_DOWNSTAIRS"
"904","WALKING_DOWNSTAIRS"
"905","WALKING_DOWNSTAIRS"
"906","WALKING_DOWNSTAIRS"
"907","WALKING_DOWNSTAIRS"
"908","STANDING"
"909","STANDING"
"910","STANDING"
"911","STANDING"
"912","STANDING"
"913","STANDING"
"914","STANDING"
"915","STANDING"
"916","STANDING"
"917","STANDING"
"918","STANDING"
"919","STANDING"
"920","STANDING"
"921","STANDING"
"922","STANDING"
"923","STANDING"
"924","STANDING"
"925","STANDING"
"926","STANDING"
"927","STANDING"
"928","STANDING"
"929","STANDING"
"930","STANDING"
"931","SITTING"
"932","SITTING"
"933","SITTING"
"934","SITTING"
"935","SITTING"
"936","SITTING"
"937","SITTING"
"938","SITTING"
"939","SITTING"
"940","SITTING"
"941","SITTING"
"942","SITTING"
"943","SITTING"
"944","SITTING"
"945","SITTING"
"946","SITTING"
"947","SITTING"
"948","SITTING"
"949","SITTING"
"950","SITTING"
"951","SITTING"
"952","SITTING"
"953","SITTING"
"954","SITTING"
"955","LAYING"
"956","LAYING"
"957","LAYING"
"958","LAYING"
"959","LAYING"
"960","LAYING"
"961","LAYING"
"962","LAYING"
"963","LAYING"
"964","LAYING"
"965","LAYING"
"966","LAYING"
"967","LAYING"
"968","LAYING"
"969","LAYING"
"970","LAYING"
"971","LAYING"
"972","LAYING"
"973","LAYING"
"974","LAYING"
"975","LAYING"
"976","LAYING"
"977","LAYING"
"978","LAYING"
"979","LAYING"
"980","LAYING"
"981","LAYING"
"982","LAYING"
"983","LAYING"
"984","LAYING"
"985","LAYING"
"986","WALKING"
"987","WALKING"
"988","WALKING"
"989","WALKING"
"990","WALKING"
"991","WALKING"
"992","WALKING"
"993","WALKING"
"994","WALKING"
"995","WALKING"
"996","WALKING"
"997","WALKING"
"998","WALKING"
"999","WALKING"
"1000","WALKING"
"1001","WALKING"
"1002","WALKING"
"1003","WALKING"
"1004","WALKING"
"1005","WALKING"
"1006","WALKING"
"1007","WALKING"
"1008","WALKING"
"1009","WALKING"
"1010","WALKING"
"1011","WALKING"
"1012","WALKING"
"1013","WALKING_DOWNSTAIRS"
"1014","WALKING_DOWNSTAIRS"
"1015","WALKING_DOWNSTAIRS"
"1016","WALKING_DOWNSTAIRS"
"1017","WALKING_DOWNSTAIRS"
"1018","WALKING_DOWNSTAIRS"
"1019","WALKING_DOWNSTAIRS"
"1020","WALKING_DOWNSTAIRS"
"1021","WALKING_DOWNSTAIRS"
"1022","WALKING_DOWNSTAIRS"
"1023","WALKING_DOWNSTAIRS"
"1024","WALKING_DOWNSTAIRS"
"1025","WALKING_DOWNSTAIRS"
"1026","WALKING_DOWNSTAIRS"
"1027","WALKING_DOWNSTAIRS"
"1028","WALKING_DOWNSTAIRS"
"1029","WALKING_DOWNSTAIRS"
"1030","WALKING_DOWNSTAIRS"
"1031","WALKING_DOWNSTAIRS"
"1032","WALKING_UPSTAIRS"
"1033","WALKING_UPSTAIRS"
"1034","WALKING_UPSTAIRS"
"1035","WALKING_UPSTAIRS"
"1036","WALKING_UPSTAIRS"
"1037","WALKING_UPSTAIRS"
"1038","WALKING_UPSTAIRS"
"1039","WALKING_UPSTAIRS"
"1040","WALKING_UPSTAIRS"
"1041","WALKING_UPSTAIRS"
"1042","WALKING_UPSTAIRS"
"1043","WALKING_UPSTAIRS"
"1044","WALKING_UPSTAIRS"
"1045","WALKING_UPSTAIRS"
"1046","WALKING_UPSTAIRS"
"1047","WALKING_UPSTAIRS"
"1048","WALKING_UPSTAIRS"
"1049","WALKING_UPSTAIRS"
"1050","WALKING_UPSTAIRS"
"1051","WALKING_UPSTAIRS"
"1052","WALKING_UPSTAIRS"
"1053","WALKING_UPSTAIRS"
"1054","WALKING_UPSTAIRS"
"1055","STANDING"
"1056","STANDING"
"1057","STANDING"
"1058","STANDING"
"1059","STANDING"
"1060","STANDING"
"1061","STANDING"
"1062","STANDING"
"1063","STANDING"
"1064","STANDING"
"1065","STANDING"
"1066","STANDING"
"1067","STANDING"
"1068","STANDING"
"1069","STANDING"
"1070","STANDING"
"1071","STANDING"
"1072","STANDING"
"1073","STANDING"
"1074","STANDING"
"1075","STANDING"
"1076","SITTING"
"1077","SITTING"
"1078","SITTING"
"1079","SITTING"
"1080","SITTING"
"1081","SITTING"
"1082","SITTING"
"1083","SITTING"
"1084","SITTING"
"1085","SITTING"
"1086","SITTING"
"1087","SITTING"
"1088","SITTING"
"1089","SITTING"
"1090","SITTING"
"1091","SITTING"
"1092","SITTING"
"1093","SITTING"
"1094","SITTING"
"1095","SITTING"
"1096","SITTING"
"1097","SITTING"
"1098","SITTING"
"1099","SITTING"
"1100","SITTING"
"1101","SITTING"
"1102","SITTING"
"1103","SITTING"
"1104","SITTING"
"1105","SITTING"
"1106","LAYING"
"1107","LAYING"
"1108","LAYING"
"1109","LAYING"
"1110","LAYING"
"1111","LAYING"
"1112","LAYING"
"1113","LAYING"
"1114","LAYING"
"1115","LAYING"
"1116","LAYING"
"1117","LAYING"
"1118","LAYING"
"1119","LAYING"
"1120","LAYING"
"1121","LAYING"
"1122","LAYING"
"1123","LAYING"
"1124","LAYING"
"1125","LAYING"
"1126","LAYING"
"1127","LAYING"
"1128","LAYING"
"1129","LAYING"
"1130","LAYING"
"1131","LAYING"
"1132","LAYING"
"1133","WALKING"
"1134","WALKING"
"1135","WALKING"
"1136","WALKING"
"1137","WALKING"
"1138","WALKING"
"1139","WALKING"
"1140","WALKING"
"1141","WALKING"
"1142","WALKING"
"1143","WALKING"
"1144","WALKING"
"1145","WALKING"
"1146","WALKING"
"1147","WALKING"
"1148","WALKING"
"1149","WALKING"
"1150","WALKING"
"1151","WALKING"
"1152","WALKING"
"1153","WALKING"
"1154","WALKING"
"1155","WALKING"
"1156","WALKING"
"1157","WALKING"
"1158","WALKING"
"1159","WALKING_DOWNSTAIRS"
"1160","WALKING_DOWNSTAIRS"
"1161","WALKING_DOWNSTAIRS"
"1162","WALKING_DOWNSTAIRS"
"1163","WALKING_DOWNSTAIRS"
"1164","WALKING_DOWNSTAIRS"
"1165","WALKING_DOWNSTAIRS"
"1166","WALKING_DOWNSTAIRS"
